story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
NAVARINO_BATTLE_NOV_1827_A71C94,NAVARINO_BATTLE_NOV_1827,battle,Battle of Navarino,Navarino,Nov. 9,reported,reported_account,military_strategic,Surrey Herald And County Advertiser,1827-11-13,Unknown,Paris,The Captain of a ship at the battle of Navarin writes to his wife,letter,Navarin -> Pants -> Constitutionnel -> Surrey Herald And County Advertiser,"Information is based on a personal letter cited by a newspaper, indicating a reported but not officially confirmed account.",False,
NAVARIN_1827_02906A,NAVARIN_1827,diplomacy,Navarin Positioning and Treaty Proposals,Navarin,1827,reported,reported_account,diplomatic_negotiation,"Petites Affiches, Annonces Et Avis Divers De Valenciennes",1827-11-14,Unknown,Zante,,unknown,Zante -> France,"The information is a reported account without explicit official confirmation or named sources, indicating moderate certainty.",False,
NAVARINO_1827_D6D0A4,NAVARINO_1827,diplomacy,Navarino port diplomatic and military positioning,Navarino,1827,editorial_comment,editorial_comment,diplomatic_negotiation,Journal des Débats,1827-11-17,Paris,Navarino,,unknown,,"The text is an editorial analysis discussing the legal and diplomatic status of Navarino port and allied fleets' actions, not a direct news report.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,battle,Battle of Navarino,Navarin,,editorial_comment,editorial_comment,humanitarian_urgency,Le Figaro,1827-11-20,Unknown,France,,unknown,,The text is a reported conversation expressing personal opinions and patriotic sentiment rather than a direct news report.,False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,naval_operation,Battle of Navarino,Navarin,1827,reported,reported_account,military_strategic,"Journal Du Gard : Politique, Administratif Et Littéraire [Puis Administratif, Judiciaire, Commercial, Dagriculture, Sciences Et Arts]",1827-11-21,Unknown,Paris,,unknown,,The information is presented as reported news with some official bulletins but lacks explicit official confirmation.,False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Turkish naval division departure and troop movements,"Constantinople, Baleuk, Latuta, Metelin, Chio, Romelie","Du 20 (November 20, 1827)",reported,reported_account,military_strategic,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1827-11-21,Unknown,Constantinople,"On dit qu'lbrahim a informé la Porte, par un tartare qui vient d'arriver de Modon",courier,Modon -> Constantinople,"The information is based on reported statements and observations without official confirmation, indicating a moderate level of reliability but some uncertainty remains.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,naval_operation,Destruction of the Turco-Egyptian fleet,Navarino,1827-11-23,reported,reported_account,military_strategic,"Le Véridique : Journal Administratif, Judiciaire, Littéraire Du Département De Lhérault",1827-11-23,Montpellier,Navarino,arrive ici une barque de Navarin avec six fuyards grecs,ship,Navarino -> Montpellier,"Information is based on reports from six Greek fugitives arriving by boat, indicating a secondhand but direct eyewitness source; no official confirmation is provided.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,diplomacy,French protection of Greeks post-triple alliance,Greece,1827,reported,reported_account,diplomatic_negotiation,Le Moniteur Universel,1827-11-26,Paris,Syros,"Nous sommes partis de Syra au nombre de 14 bâtiments, sous l'escorte d'un brigantin grec commandé par un capitaine spezziote",ship,Syra -> Paris,"The text is a newspaper report citing ministerial declarations and shipping movements but lacks explicit official confirmation, indicating a reported account.",False,
BATTLE_OF_NAVARINO_1827_6C525C,BATTLE_OF_NAVARINO_1827,battle,Battle of Navarino,Navarino,,reported,reported_account,humanitarian_urgency,Saint Jamess Chronicle,1827-12-04,London,Flanders,FLANDERS MAIL AND DUTCH PAPERS,newspaper_reprint,Flanders -> London,"The information is a reported account from reprinted newspapers, lacking official confirmation and containing some speculative questioning.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,battle,Battle of Navarino,Navarino,,reported,reported_account,military_strategic,Inverness Journal And Northern Advertiser,1827-12-07,Unknown,Constantinople,,unknown,Constantinople -> Inverness Journal And Northern Advertiser,The information is a newspaper report referencing events at Constantinople without explicit official confirmation.,False,
NAVARINO_BATTLE_OCT_1827_DE492D,NAVARINO_BATTLE_OCT_1827,naval_operation,Battle of Navarino,Port of Navarino,"Oct. 24, 1827",reported,reported_account,military_strategic,Cork Constitution,1827-12-08,Cork,Navarino,From tie Galway Independent.,newspaper_reprint,Navarino -> Galway Independent -> Cork Constitution,"The information is a secondhand newspaper report citing the Galway Independent, indicating reported but not confirmed news.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,naval_operation,Destruction of Ottoman fleet at Port of Navarino,Port of Navarino,Oct. 24,reported,reported_account,military_strategic,Atlas,1827-12-09,Alger,Port Of Navarino,,unknown,Port of Never'no -> Alger,The information is presented as learned news but lacks explicit official confirmation or multiple sources.,False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,naval_operation,Battle of Navarino,Navarino,1827-12-01,reported,reported_account,humanitarian_urgency,Journal De Valenciennes : Feuille Dannonces Judiciaires Et Commerciales,1827-12-11,Unknown,Brussels,"Le oujour l'on a appris, à l'aris, la nouvelle de l'allaire de Navarin",oral_report,Brussels -> Paris,"The information is presented as recently learned news without official confirmation, indicating a reported account rather than confirmed fact.",False,
NAVARINO_BATTLE_NOV_1827_A71C94,NAVARINO_BATTLE_NOV_1827,battle,Battle of Navarino,Navarino,11 novembre,reported,reported_account,military_strategic,La Quotidienne,1827-12-13,Paris,Nafplio,D'après des rapports de Napoli de Romanie du 11 novembre,unknown,Napoli de Romanie -> Paris,The information is based on reports from Napoli de Romanie and reflects contemporary news circulation without official confirmation.,False,
NAVARINO_BATTLE_NOV_1827_A71C94,NAVARINO_BATTLE_NOV_1827,naval_operation,Battle of Navarino,Navarino,11 November 1827,reported,aftermath,diplomatic_negotiation,Le Moniteur Universel,1827-12-13,Paris,Andrinople,Des lettres d'Andrinople assurent que la Porte est loin de consentir,letter,Andrinople -> Paris,"Information is based on letters from Andrinople and reflects reported diplomatic stance, not official confirmation.",False,
GREEK_PIRACY_1827_2BB187,GREEK_PIRACY_1827,naval_operation,Measures against Greek piracy in the Levant,Levant,29 novembre 1827,reported,reported_account,commercial_shipping,"Le Véridique : Journal Administratif, Judiciaire, Littéraire Du Département De Lhérault",1827-12-14,Montpellier,Constantinople,On écrivait de Messine aue & hâtimens marchande anaient été,newspaper_reprint,Constantinople -> Messine -> Montpellier,"The information is a reported account based on official dispatches and reprinted news, not confirmed by multiple independent sources.",False,
BATTLE_OF_NAVARINO_1827_6C525C,BATTLE_OF_NAVARINO_1827,naval_operation,Battle of Navarino,Navarino,1827,reported,reported_account,military_strategic,The Sun,1827-12-20,London,Lesbos,Sunday's and Tuesday's Posts ... formally announced,newspaper_reprint,Lesbos -> London,The information is based on reports from consuls and newspaper posts but lacks official confirmation and contains unclear phrasing.,True,"Text is fragmentary and partially unclear, requiring further verification."
NAVARINO_BATTLE_OCT_1827_DE492D,NAVARINO_BATTLE_OCT_1827,naval_operation,Battle of Navarino,Navarino,29 October 1827,reported,reported_account,diplomatic_negotiation,Journal du Commerce,1827-12-25,Paris,Paris,,unknown,,"The information is a reported proclamation by Lord Cochrane aboard the Hellas, indicating a reported account rather than official confirmation.",False,
GREEK_PIRACY_1827_2BB187,GREEK_PIRACY_1827,naval_operation,Greek piracy against commercial shipping,"Levant, Archipelago, Alexandria port",1827,reported,reported_account,commercial_shipping,La Quotidienne,1827-12-26,Paris,Marseille,c'est le même jour où ils se croyaient tranquilles sur le sort des navires,newspaper_reprint,Marseille -> Paris,"The information is a newspaper report citing commercial sources and local news, reflecting a pro-Greek but critical stance on Greek piracy; it is not official confirmation.",False,
